"Resource","Task","Valid"
"SO Ask","Design","No"
"SO Search","Design","No"
"Official APIs","Design","No"
"Other Q&A search","Design","No"
"Forums search","Design","No"
"Bug trackers","Design","No"
"Official documentation","Design","No"
"Unofficial documentation","Design","No"
"Blog (Repost)","Design","No"
"Blog (Announcement)","Design","No"
"Blog (Opinion)","Design","No"
"Blog (New functionality)","Design","No"
"Blog (experience)","Design","No"
"Blog (tutorials)","Design","No"
"SO Ask","Select","No"
"SO Search","Select","Yes"
"Official APIs","Select","Yes"
"Other Q&A search","Select","Yes"
"Forums search","Select","Yes"
"Bug trackers","Select","Yes"
"Official documentation","Select","Yes"
"Unofficial documentation","Select","Yes"
"Blog (Repost)","Select","No"
"Blog (Announcement)","Select","No"
"Blog (Opinion)","Select","No"
"Blog (New functionality)","Select","No"
"Blog (experience)","Select","No"
"Blog (tutorials)","Select","Yes"
"SO Ask","Use","Yes"
"SO Search","Use","Yes"
"Official APIs","Use","Yes"
"Other Q&A search","Use","No"
"Forums search","Use","Yes"
"Bug trackers","Use","No"
"Official documentation","Use","No"
"Unofficial documentation","Use","Yes"
"Blog (Repost)","Use","No"
"Blog (Announcement)","Use","No"
"Blog (Opinion)","Use","No"
"Blog (New functionality)","Use","No"
"Blog (experience)","Use","Yes"
"Blog (tutorials)","Use","Yes"
"SO Ask","Coordination","Yes"
"SO Search","Coordination","No"
"Official APIs","Coordination","No"
"Other Q&A search","Coordination","No"
"Forums search","Coordination","No"
"Bug trackers","Coordination","No"
"Official documentation","Coordination","No"
"Unofficial documentation","Coordination","No"
"Blog (Repost)","Coordination","No"
"Blog (Announcement)","Coordination","No"
"Blog (Opinion)","Coordination","No"
"Blog (New functionality)","Coordination","No"
"Blog (experience)","Coordination","No"
"Blog (tutorials)","Coordination","Yes"
"SO Ask","Understanding","Yes"
"SO Search","Understanding","No"
"Official APIs","Understanding","No"
"Other Q&A search","Understanding","No"
"Forums search","Understanding","Yes"
"Bug trackers","Understanding","No"
"Official documentation","Understanding","No"
"Unofficial documentation","Understanding","No"
"Blog (Repost)","Understanding","No"
"Blog (Announcement)","Understanding","No"
"Blog (Opinion)","Understanding","No"
"Blog (New functionality)","Understanding","No"
"Blog (experience)","Understanding","No"
"Blog (tutorials)","Understanding","No"
"SO Ask","Information","Yes"
"SO Search","Information","Yes"
"Official APIs","Information","No"
"Other Q&A search","Information","No"
"Forums search","Information","No"
"Bug trackers","Information","No"
"Official documentation","Information","No"
"Unofficial documentation","Information","No"
"Blog (Repost)","Information","No"
"Blog (Announcement)","Information","No"
"Blog (Opinion)","Information","No"
"Blog (New functionality)","Information","No"
"Blog (experience)","Information","No"
"Blog (tutorials)","Information","No"
